chumphon,suratthani,nakhon
1233,236,1951
1710,402,394
2989,919,1170
139,472,137
2164,25,716
4944,253,131
14017,2326,1696
19356,16534,8214
26777,13681,5171
14645,3820,3472
23032,4318,15346
5316,617,1788
3484,1440,1951
4065,1515,942
2359,919,797
410,630,137
4500,342,716
9164,5808,2555
18381,10284,14499
41274,10540,11006
13753,4822,5059
4583,1836,3073
5850,2039,4316
4356,1044,2725
3484,1440,1951
4065,1515,942
2359,919,797
410,630,137
1597,342,716
9631,1526,2218
26849,6431,12583
25552,11506,9551
7486,6647,4390
2249,4940,2667
524,3237,4316
973,1044,2725
3484,1440,1186
1602,1515,639
668,919,797
410,1248,137
5208,1578,411
15890,3311,274
37522,10587,5019
43798,14745,23087
16424,8277,12319
3071,2521,1095
5476,2039,91
3873,1044,1369
3484,1440,2194
4065,1515,956
2359,919,19
410,604,137
5100,289,2339
15862,1609,1651
20107,7630,1766
27570,20636,7362
23496,7349,6605
3802,2521,4804
3279,2039,5095
1368,1044,5431
2517,902,2720
2517,1877,2720
2517,1805,2720
410,958,137
3831,112,716
9257,1307,522
35753,6894,2305
35778,14875,14591
13984,3830,3288
9847,1210,1389
4260,1624,7816
2517,1660,3392
33,1440,3413
4065,1515,49
2632,919,797
26,462,137
2143,6,1414
1256,3868,1373
3393,11072,12171
24515,11033,11085
12810,3949,2024
9701,2173,2331
9153,2039,1951
469,1044,4585
3484,1440,1951
4065,1515,942
2359,919,797
410,630,137
3082,342,716
6468,1675,233
9670,2768,629
18707,16383,5260
13030,1500,4437
1492,2521,1095
1660,2039,5835
5065,1044,548
3323,2724,1951
2135,973,942
726,919,797
1782,630,137
4291,342,716
11674,471,1816
20542,3265,5778
21147,9847,4016
25020,4330,3715
10023,4086,2076
4401,2617,3185
4962,3290,3693
6822,2062,390
4955,1757,453
2359,919,797
410,630,137
3082,342,716
6975,1526,975
12133,7574,3628
38330,10919,7317
32752,4914,5894
8944,1876,1381
9630,2497,1231
6505,413,786
605,1440,1951
907,1515,942
453,919,797
302,630,137
756,342,716
5894,1526,975
29170,5277,5252
79198,15243,6011
23125,4397,15359
8010,2931,9350
1814,1466,1002
907,1044,1670
1282,4252,1951
685,7681,942
100,919,797
37,630,137
212,342,716
10072,54,975
33900,6373,6083
44905,3975,16179
15935,4762,4953
5901,679,734
5216,303,1727
6250,232,1048
4323,1440,1515
6320,1515,606
2709,919,303
137,630,137
328,342,716
2928,349,533
28086,9623,561
6813,10061,7768
48334,2816,7943
31671,440,6463
2052,2039,3618
3106,1044,988
1702,62,283
2137,88,236
868,919,797
114,630,137
1143,342,24
1257,107,24
14556,1539,1698
56863,8465,7618
20919,7234,4291
9951,2993,1674
3839,780,3939
903,107,3797
7352,393,674
9735,81,330
6361,33,62
139,187,137
5897,342,49
11051,20,134
38167,4414,1472
40163,13907,15357
13620,6520,1459
9333,2521,2136
7770,2039,6412
5185,1044,4629
11081,1806,4326
14192,761,2153
7054,919,512
1111,630,137
1055,342,62
6304,1022,1426
31661,7167,7700
127534,21556,13935
39410,7272,7035
6471,3739,1991
10526,1512,4451
21330,990,4264
1546,530,2815
1893,21,1832
1231,919,797
316,481,137
8015,44,716
39507,1521,761
86114,16336,6448
61818,15247,9466
82454,3641,11224
30702,2056,13253
978,2039,3053
978,1044,2898
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
, ,
