monthyear,chumphon,suratthani
Jan-2004,1233,236
Feb-2004,1710,402
Mar-2004,2989,0
Apr-2004,139,0
May-2004,2164,25
Jun-2004,4944,253
Jul-2004,14017,2326
Aug-2004,19356,16534
Sep-2004,26777,13681
Oct-2004,14645,3820
Nov-2004,23032,4318
Dec-2004,5316,617
Jan-2005,0,0
Feb-2005,0,0
Mar-2005,0,0
Apr-2005,0,0
May-2005,4500,0
Jun-2005,9164,5808
Jul-2005,18381,10284
Aug-2005,41274,10540
Sep-2005,13753,4822
Oct-2005,4583,1836
Nov-2005,0,0
Dec-2005,0,0
Jan-2006,0,0
Feb-2006,0,0
Mar-2006,0,0
Apr-2006,0,0
May-2006,1597,0
Jun-2006,9631,0
Jul-2006,26849,6431
Aug-2006,25552,11506
Sep-2006,7486,6647
Oct-2006,2249,4940
Nov-2006,524,3237
Dec-2006,973,0
Jan-2007,0,0
Feb-2007,1602,0
Mar-2007,668,0
Apr-2007,0,0
May-2007,5208,1578
Jun-2007,15890,3311
Jul-2007,37522,10587
Aug-2007,43798,14745
Sep-2007,16424,8277
Oct-2007,3071,0
Nov-2007,5476,0
Dec-2007,3873,0
Jan-2008,0,0
Feb-2008,0,0
Mar-2008,0,0
Apr-2008,0,0
May-2008,5100,289
Jun-2008,15862,1609
Jul-2008,20107,7630
Aug-2008,27570,20636
Sep-2008,23496,7349
Oct-2008,3802,0
Nov-2008,3279,0
Dec-2008,1368,0
Jan-2009,2517,902
Feb-2009,2517,1877
Mar-2009,2517,1805
Apr-2009,0,0
May-2009,3831,112
Jun-2009,9257,1307
Jul-2009,35753,6894
Aug-2009,35778,14875
Sep-2009,13984,3830
Oct-2009,9847,1210
Nov-2009,4260,1624
Dec-2009,2517,1660
Jan-2010,33,0
Feb-2010,0,0
Mar-2010,2632,0
Apr-2010,26,0
May-2010,2143,6
Jun-2010,1256,3868
Jul-2010,3393,11072
Aug-2010,24515,11033
Sep-2010,12810,3949
Oct-2010,9701,2173
Nov-2010,9153,0
Dec-2010,469,0
Jan-2011,0,0
Feb-2011,0,0
Mar-2011,0,0
Apr-2011,0,0
May-2011,0,0
Jun-2011,6468,1675
Jul-2011,9670,2768
Aug-2011,18707,16383
Sep-2011,13030,1500
Oct-2011,1492,0
Nov-2011,1660,0
Dec-2011,5065,0
Jan-2012,3323,2724
Feb-2012,2135,973
Mar-2012,726,0
Apr-2012,1782,0
May-2012,4291,0
Jun-2012,11674,471
Jul-2012,20542,3265
Aug-2012,21147,9847
Sep-2012,25020,4330
Oct-2012,10023,4086
Nov-2012,4401,2617
Dec-2012,4962,3290
Jan-2013,6822,2062
Feb-2013,4955,1757
Mar-2013,0,0
Apr-2013,0,0
May-2013,0,0
Jun-2013,6975,0
Jul-2013,12133,7574
Aug-2013,38330,10919
Sep-2013,32752,4914
Oct-2013,8944,1876
Nov-2013,9630,2497
Dec-2013,6505,413
Jan-2014,605,0
Feb-2014,907,0
Mar-2014,453,0
Apr-2014,302,0
May-2014,756,0
Jun-2014,5894,0
Jul-2014,29170,5277
Aug-2014,79198,15243
Sep-2014,23125,4397
Oct-2014,8010,2931
Nov-2014,1814,1466
Dec-2014,907,0
Jan-2015,1282,4252
Feb-2015,685,7681
Mar-2015,100,0
Apr-2015,37,0
May-2015,212,0
Jun-2015,10072,54
Jul-2015,33900,6373
Aug-2015,44905,3975
Sep-2015,15935,4762
Oct-2015,5901,679
Nov-2015,5216,303
Dec-2015,6250,232
Jan-2016,4323,0
Feb-2016,6320,0
Mar-2016,2709,0
Apr-2016,137,0
May-2016,328,0
Jun-2016,2928,349
Jul-2016,28086,9623
Aug-2016,6813,10061
Sep-2016,48334,2816
Oct-2016,31671,440
Nov-2016,2052,0
Dec-2016,3106,0
Jan-2017,1702,62
Feb-2017,2137,88
Mar-2017,868,0
Apr-2017,114,0
May-2017,1143,0
Jun-2017,1257,107
Jul-2017,14556,1539
Aug-2017,56863,8465
Sep-2017,20919,7234
Oct-2017,9951,2993
Nov-2017,3839,780
Dec-2017,903,107
Jan-2018,7352,393
Feb-2018,9735,81
Mar-2018,6361,33
Apr-2018,139,0
May-2018,5897,0
Jun-2018,11051,20
Jul-2018,38167,4414
Aug-2018,40163,13907
Sep-2018,13620,6520
Oct-2018,9333,0
Nov-2018,7770,0
Dec-2018,5185,0
Jan-2019,11081,1806
Feb-2019,14192,761
Mar-2019,7054,0
Apr-2019,1111,0
May-2019,1055,0
Jun-2019,6304,1022
Jul-2019,31661,7167
Aug-2019,127534,21556
Sep-2019,39410,7272
Oct-2019,6471,3739
Nov-2019,10526,1512
Dec-2019,21330,990
Jan-2020,1546,530
Feb-2020,1893,21
Mar-2020,1231,0
Apr-2020,316,0
May-2020,8015,44
Jun-2020,39507,1521
Jul-2020,86114,16336
Aug-2020,61818,15247
Sep-2020,82454,3641
Oct-2020,30702,2056
Nov-2020,978,0
Dec-2020,978,0
Jan-2021,2614,625
Feb-2021,2958,23
Mar-2021,2270,0
Apr-2021,344,0
May-2021,8701,0
Jun-2021,44741,2977
Jul-2021,106573,20708
Aug-2021,72013,18018
Sep-2021,83912,4564
Oct-2021,17676,42
